id,date,group,outcome
aa43753,11/24/23,treatment,0
aa50541,10/16/23,treatment,0
aa51072,9/21/23,treatment,0
aa51230,11/11/23,treatment,0
aa51297,10/28/23,control,0
aa51472,8/26/23,treatment,0
aa52317,9/21/23,treatment,0
aa52500,10/18/23,control,0
aa52628,10/26/23,control,0
aa52868,11/7/23,treatment,0
aa52963,10/15/23,treatment,0
aa52963,10/27/23,treatment,0
aa53446,12/1/23,control,0
aa53905,12/27/23,control,0
aa54026,8/20/23,treatment,0
aa54849,10/28/23,treatment,0
aa54880,11/30/23,control,0
aa54930,8/15/23,treatment,0
aa57695,11/3/23,treatment,0
aa57806,9/1/23,control,0
aa59185,12/8/23,treatment,0
aa60485,8/19/23,control,0
aa60517,9/20/23,control,0
aa60878,12/11/23,treatment,0
aa61524,8/28/23,treatment,0
aa62958,11/5/23,treatment,0
aa63061,8/9/23,control,0
aa64771,12/29/23,treatment,0
aa66545,10/12/23,control,0
aa66869,11/24/23,treatment,0
aa67289,12/28/23,treatment,0
aa68075,11/7/23,control,0
aa68139,12/30/23,control,0
aa68372,11/15/23,control,0
aa69366,12/22/23,treatment,0
aa69394,10/4/23,control,0
aa69555,10/29/23,treatment,0
aa70064,12/26/23,control,0
aa70404,11/12/23,treatment,0
aa70699,12/26/23,treatment,0
aa72394,12/9/23,control,0
aa72608,10/6/23,treatment,0
aa73855,11/15/23,treatment,0
aa74045,10/20/23,treatment,0
aa75158,9/2/23,control,0
aa76901,8/11/23,control,0
aa76948,8/28/23,control,0
aa78250,8/7/23,control,17.33416011
aa79477,11/11/23,control,0
aa80759,10/3/23,treatment,0
aa80873,10/18/23,treatment,0
aa83518,10/21/23,treatment,0
aa84800,11/29/23,treatment,0
aa85588,11/9/23,control,62.8041919
aa85762,11/30/23,treatment,0
aa86616,10/3/23,treatment,0
aa87081,8/19/23,control,0
aa87289,8/15/23,control,0
aa87979,10/3/23,treatment,0
aa88039,9/24/23,control,0
aa88980,9/18/23,treatment,0
aa91832,8/26/23,treatment,0
aa93140,10/1/23,control,0
aa93925,10/10/23,treatment,25.26225738
aa99710,10/17/23,treatment,0
ab101626,8/15/23,control,0
ab103015,9/18/23,control,0
ab104060,12/9/23,control,0
ab106189,8/3/23,treatment,0
ab106620,11/30/23,treatment,0
ab106719,12/25/23,treatment,0
ab108541,9/30/23,control,0
ab108957,10/26/23,control,0
ab109655,12/5/23,treatment,0
ab110014,8/21/23,control,0
ab110186,10/14/23,control,0
ab110715,10/28/23,treatment,0
ab110835,11/27/23,control,0
ab112087,10/7/23,treatment,0
ab113455,11/25/23,control,0
ab114239,12/14/23,control,0
ab115119,9/20/23,treatment,0
ab11513,10/8/23,treatment,0
ab115406,12/7/23,treatment,0
ab116085,12/29/23,control,0
ab116088,10/27/23,treatment,0
ab117049,12/14/23,treatment,0
ab11939,9/6/23,treatment,0
ab119676,12/24/23,treatment,0
ab120216,10/22/23,treatment,0
ab120868,8/9/23,control,0
ab12125,10/25/23,control,0
ab121274,8/5/23,control,0
ab122005,11/10/23,treatment,0
ab122795,12/22/23,treatment,0
ab125088,8/6/23,treatment,0
ab12561,11/4/23,treatment,0
ab127340,9/14/23,treatment,54.46132477
ab128302,9/30/23,treatment,0
ab128302,10/31/23,treatment,0
ab128332,10/22/23,treatment,0
ab12859,12/10/23,treatment,0
ab129718,8/10/23,control,0
ab130468,11/17/23,treatment,0
ab130841,8/22/23,treatment,0
ab130927,10/4/23,treatment,0
ab131649,11/19/23,control,0
ab131687,9/16/23,control,0
ab132160,8/14/23,control,0
ab132620,9/22/23,control,0
ab133889,11/9/23,treatment,0
ab134021,8/20/23,control,0
ab135374,8/16/23,control,0
ab135945,10/26/23,treatment,0
ab136717,9/26/23,control,0
ab137068,12/9/23,treatment,0
ab137949,10/30/23,control,0
ab138098,12/6/23,treatment,0
ab139395,8/31/23,treatment,0
ab139805,9/5/23,control,0
ab140077,8/11/23,control,0
ab140682,10/18/23,control,0
ab141692,8/25/23,control,0
ab142857,9/14/23,control,0
ab144204,10/9/23,treatment,0
ab144642,12/10/23,treatment,0
ab144709,12/2/23,control,0
ab145046,8/23/23,treatment,0
ab147056,8/4/23,treatment,0
ab147076,8/5/23,treatment,0
ab14752,11/27/23,treatment,0
ab148617,11/29/23,treatment,0
ab149597,12/16/23,control,126.6229889
ab150402,11/30/23,treatment,0
ab15153,11/10/23,control,0
ab15451,10/16/23,control,0
ab16897,9/21/23,control,0
ab18532,8/14/23,control,0
ab18702,12/24/23,control,0
ab19348,10/4/23,control,0
ab20938,8/16/23,treatment,0
ab21493,12/23/23,treatment,0
ab21529,8/18/23,treatment,0
ab21883,8/9/23,control,0
ab23723,12/30/23,treatment,0
ab24814,12/15/23,control,0
ab25264,9/3/23,treatment,0
ab26782,11/17/23,treatment,0
ab27875,9/9/23,treatment,0
ab28377,8/9/23,control,0
ab31810,10/6/23,treatment,0
ab32038,8/8/23,treatment,0
ab34279,12/12/23,control,0
ab34432,10/31/23,control,0
ab35363,10/29/23,treatment,0
ab35463,11/6/23,treatment,0
ab37459,10/10/23,treatment,0
ab38291,8/18/23,treatment,0
ab38396,11/4/23,control,0
ab39207,12/24/23,control,0
ab40811,8/12/23,control,0
ab41182,8/19/23,control,0
ab44125,10/23/23,treatment,0
ab44224,8/19/23,control,0
ab45206,12/14/23,treatment,0
ab45571,11/19/23,control,0
ab48117,10/16/23,control,0
ab48141,11/13/23,control,0
ab48991,9/11/23,control,0
ab51645,11/25/23,treatment,0
ab51816,12/3/23,control,0
ab52943,10/19/23,treatment,0
ab53786,9/21/23,control,0
ab54126,10/20/23,control,0
ab54646,12/24/23,control,0
ab55138,11/15/23,control,0
ab59326,9/4/23,control,0
ab59411,12/23/23,treatment,0
ab60509,12/30/23,control,0
ab61519,8/31/23,control,0
ab63148,9/2/23,control,0
ab63825,8/11/23,treatment,0
ab65755,8/23/23,control,0
ab67797,10/5/23,control,0
ab69819,10/30/23,treatment,0
ab71067,12/2/23,control,0
ab71268,10/16/23,control,0
ab72247,8/1/23,control,0
ab72384,9/21/23,control,0
ab74174,9/18/23,treatment,0
ab78137,8/14/23,control,0
ab80120,10/14/23,treatment,0
ab80177,11/7/23,control,38.22324136
ab81615,11/28/23,control,0
ab82755,11/26/23,control,0
ab83110,11/26/23,treatment,0
ab83381,11/4/23,control,0
ab84291,11/21/23,treatment,0
ab85316,9/19/23,treatment,0
ab87418,8/8/23,treatment,0
ab88968,9/24/23,control,0
ab89743,8/25/23,treatment,0
ab89746,9/13/23,treatment,0
ab89996,12/20/23,treatment,0
ab90167,12/16/23,control,0
ab90594,10/17/23,treatment,0
ab91476,10/6/23,treatment,0
ab92007,8/21/23,treatment,0
ab92923,9/4/23,treatment,0
ab93806,9/6/23,control,0
ab95631,9/21/23,control,0
ab96047,9/30/23,treatment,0
ab98282,11/30/23,control,126.9788594
ac101578,11/30/23,treatment,0
ac101971,11/14/23,treatment,0
ac103197,9/21/23,control,113.0695192
ac103495,10/19/23,treatment,0
ac104481,8/2/23,treatment,0
ac104570,12/21/23,control,0
ac105152,8/12/23,treatment,0
ac106835,12/15/23,treatment,0
ac108565,8/31/23,control,0
ac109341,10/9/23,treatment,0
ac109537,9/8/23,control,0
ac110306,10/23/23,control,0
ac112634,11/23/23,control,0
ac112705,9/4/23,control,0
ac112946,10/11/23,control,0
ac113703,10/11/23,treatment,0
ac114540,8/25/23,treatment,0
ac117878,10/6/23,control,0
ac118826,9/14/23,control,0
ac120495,8/4/23,control,0
ac12217,11/19/23,treatment,0
ac122678,10/17/23,control,0
ac122906,10/12/23,treatment,0
ac124418,8/29/23,treatment,0
ac124630,12/13/23,treatment,0
ac127208,10/21/23,control,0
ac129154,8/20/23,treatment,0
ac129158,8/11/23,treatment,32.73749759
ac129756,12/6/23,control,0
ac130501,12/30/23,treatment,0
ac13159,8/26/23,control,0
ac132225,9/21/23,control,0
ac132546,12/19/23,treatment,0
ac133485,9/1/23,control,0
ac133652,11/7/23,treatment,0
ac134487,11/6/23,control,0
ac135508,9/24/23,treatment,65.56872538
ac136510,8/9/23,treatment,0
ac13801,11/17/23,control,0
ac139883,8/20/23,treatment,0
ac141230,11/19/23,treatment,0
ac143129,11/17/23,treatment,0
ac144544,11/27/23,treatment,0
ac145471,8/18/23,treatment,0
ac145624,9/12/23,treatment,0
ac147246,9/26/23,control,0
ac147441,8/3/23,treatment,0
ac149454,10/29/23,control,0
ac15966,8/4/23,control,0
ac16149,12/23/23,treatment,60.21429014
ac16560,10/2/23,treatment,0
ac17483,10/31/23,treatment,0
ac18045,8/18/23,control,0
ac18308,8/2/23,control,0
ac18795,12/14/23,control,9.456791646
ac20134,8/20/23,control,0
ac20315,12/7/23,control,0
ac20396,11/1/23,treatment,0
ac21143,8/25/23,control,0
ac21572,12/14/23,control,0
ac22489,9/11/23,control,0
ac22840,11/6/23,control,0
ac25715,10/16/23,treatment,0
ac27578,11/24/23,treatment,0
ac29674,12/9/23,control,0
ac29760,8/10/23,control,0
ac31037,9/10/23,treatment,0
ac32062,11/10/23,control,0
ac32260,9/27/23,control,0
ac32724,10/3/23,treatment,0
ac33506,9/22/23,control,0
ac33566,12/11/23,treatment,0
ac35059,10/14/23,control,0
ac38201,12/23/23,control,0
ac38683,12/2/23,treatment,0
ac38966,12/20/23,treatment,0
ac40549,12/6/23,treatment,0
ac42106,11/11/23,treatment,0
ac43125,10/2/23,control,0
ac45207,9/27/23,control,0
ac45940,11/23/23,control,0
ac48586,8/4/23,treatment,0
ac48828,8/30/23,control,0
ac48979,10/11/23,treatment,0
ac49761,9/11/23,control,0
ac50374,10/3/23,control,0
ac51328,11/17/23,control,0
ac51462,10/7/23,treatment,0
ac53432,8/18/23,treatment,0
ac54412,10/15/23,control,0
ac55980,11/7/23,control,0
ac56613,10/16/23,treatment,0
ac58034,11/15/23,control,0
ac60648,9/22/23,treatment,0
ac63835,12/21/23,control,0
ac64042,10/30/23,treatment,0
ac64833,12/27/23,treatment,0
ac65450,11/26/23,control,0
ac65457,9/16/23,treatment,0
ac67436,12/5/23,control,0
ac68318,8/1/23,treatment,0
ac68912,8/26/23,treatment,0
ac74986,12/23/23,control,0
ac76390,10/22/23,treatment,0
ac77224,11/29/23,treatment,0
ac77230,8/17/23,treatment,0
ac78097,12/1/23,control,0
ac78380,11/16/23,control,0
ac78868,8/7/23,control,0
ac79259,12/5/23,control,0
ac79531,10/16/23,treatment,0
ac80193,12/10/23,treatment,0
ac80196,8/10/23,treatment,0
ac81639,9/21/23,treatment,0
ac82225,9/20/23,treatment,0
ac82590,12/27/23,treatment,0
ac83304,11/11/23,control,0
ac83729,8/16/23,treatment,0
ac84483,11/19/23,control,0
ac84506,11/29/23,control,0
ac84795,10/25/23,treatment,0
ac85162,8/6/23,control,0
ac86149,11/7/23,control,0
ac86688,8/21/23,treatment,0
ac86924,9/6/23,control,0
ac87143,8/13/23,control,0
ac88214,12/11/23,control,0
ac89075,10/4/23,control,0
ac92236,9/11/23,treatment,0
ac93247,12/17/23,treatment,0
ac93253,12/24/23,control,0
ac93358,10/19/23,control,0
ac93569,10/16/23,treatment,0
ac93965,9/2/23,control,0
ac93965,10/6/23,control,0
ac94146,12/19/23,treatment,0
ac94182,11/7/23,control,0
ac94215,12/22/23,control,0
ac95135,12/23/23,treatment,0
ac95866,9/11/23,control,0
ac96507,8/22/23,control,0
ac96611,8/2/23,treatment,0
ac97485,10/9/23,control,0
ac97532,10/22/23,treatment,0
ac98641,10/30/23,treatment,0
ac99723,9/28/23,treatment,0
ac99759,8/19/23,treatment,0
ac99782,11/28/23,control,0
ad102260,9/13/23,control,0
ad102302,10/19/23,control,0
ad102586,11/21/23,control,0
ad102661,12/26/23,control,0
ad103041,8/2/23,control,0
ad104015,11/11/23,treatment,0
ad104375,8/27/23,treatment,0
ad108375,11/6/23,treatment,0
ad108893,11/7/23,treatment,0
ad110437,11/28/23,treatment,0
ad110760,11/4/23,treatment,0
ad111839,9/23/23,control,0
ad113330,10/27/23,treatment,0
ad113737,10/24/23,treatment,0
ad113786,11/2/23,control,0
ad113886,10/29/23,control,0
ad114195,9/12/23,treatment,0
ad115250,11/2/23,treatment,0
ad115261,9/3/23,treatment,0
ad115333,8/8/23,treatment,0
ad116204,12/26/23,control,0
ad116706,10/9/23,treatment,0
ad11852,10/8/23,treatment,0
ad119005,12/1/23,control,0
ad119467,11/7/23,control,0
ad119542,12/25/23,control,0
ad11956,8/4/23,treatment,0
ad120439,10/2/23,control,0
ad120595,10/19/23,treatment,0
ad120906,12/28/23,treatment,0
ad122265,11/9/23,treatment,0
ad122724,8/8/23,control,0
ad123363,12/29/23,control,0
ad123849,12/8/23,treatment,0
ad12440,8/25/23,control,0
ad124546,9/13/23,control,0
ad125157,11/3/23,treatment,0
ad12801,12/11/23,control,0
ad131093,11/16/23,treatment,0
ad132714,12/28/23,treatment,0
ad133366,10/31/23,treatment,0
ad133961,8/6/23,control,0
ad135207,8/21/23,treatment,0
ad136819,12/22/23,treatment,0
ad136834,12/18/23,control,0
ad137722,10/31/23,treatment,0
ad139925,11/4/23,treatment,0
ad141528,8/11/23,control,0
ad141726,12/10/23,treatment,0
ad145010,11/11/23,treatment,0
ad145160,9/17/23,treatment,0
ad145281,8/17/23,control,0
ad146199,8/9/23,treatment,0
ad146324,12/22/23,control,0
ad147281,11/25/23,control,0
ad149026,8/26/23,treatment,0
ad150737,10/3/23,control,0
ad15644,11/26/23,treatment,0
ad15957,10/15/23,control,0
ad16821,10/29/23,control,0
ad17834,8/11/23,control,0
ad17920,9/2/23,treatment,0
ad21089,12/28/23,treatment,0
ad21120,12/7/23,treatment,95.27757936
ad21313,8/31/23,treatment,0
ad23020,12/8/23,control,0
ad25231,11/28/23,control,0
ad25272,12/11/23,treatment,0
ad26733,10/26/23,treatment,0
ad26892,10/3/23,treatment,0
ad28063,10/21/23,treatment,0
ad28342,8/31/23,treatment,0
ad28460,12/17/23,control,0
ad30651,11/10/23,control,0
ad32499,9/18/23,control,0
ad34614,9/13/23,treatment,0
ad34842,8/21/23,treatment,0
ad35611,10/18/23,treatment,0
ad35831,12/4/23,treatment,0
ad38743,10/26/23,control,0
ad43006,11/27/23,control,0
ad45913,9/3/23,control,0
ad45985,11/10/23,control,0
ad46173,12/2/23,treatment,0
ad47164,12/7/23,treatment,0
ad48826,11/25/23,treatment,0
ad49398,9/23/23,control,117.1891485
ad49834,10/1/23,treatment,0
ad50388,9/8/23,control,0
ad51329,9/17/23,control,0
ad52083,11/27/23,control,0
ad53263,9/20/23,control,0
ad53543,11/18/23,treatment,0
ad55480,8/18/23,treatment,0
ad56265,8/14/23,treatment,0
ad56809,12/24/23,treatment,0
ad59783,9/16/23,control,0
ad60943,11/27/23,control,0
ad60944,10/13/23,control,0
ad61372,11/24/23,treatment,0
ad62989,10/11/23,treatment,0
ad63023,12/6/23,control,0
ad63273,11/29/23,control,109.6531065
ad65277,10/3/23,control,0
ad68370,8/30/23,treatment,0
ad68411,9/9/23,treatment,0
ad70136,9/23/23,control,0
ad70895,11/22/23,control,0
ad71142,9/29/23,control,0
ad71884,8/7/23,treatment,0
ad75180,12/26/23,treatment,0
ad81470,8/11/23,treatment,0
ad81945,10/26/23,treatment,0
ad82004,11/18/23,control,0
ad82384,8/14/23,treatment,0
ad82722,8/25/23,treatment,0
ad88093,8/6/23,treatment,88.10736895
ad90445,11/11/23,control,0
ad90816,10/1/23,control,0
ad91537,9/28/23,control,0
ad94753,12/24/23,control,0
ad94763,11/9/23,control,97.75211035
ad94793,12/27/23,control,0
ad96239,9/15/23,control,139.0974664
ad99703,12/12/23,treatment,0
ae100572,8/7/23,control,0
ae103723,12/2/23,treatment,0
ae104937,11/1/23,control,0
ae107595,8/15/23,treatment,0
ae109252,12/24/23,control,0
ae111379,11/2/23,control,0
ae114025,11/21/23,treatment,0
ae114127,9/17/23,control,0
ae11457,8/26/23,control,0
ae115487,9/1/23,treatment,0
ae115800,8/28/23,treatment,0
ae116113,9/17/23,control,0
ae116389,12/14/23,treatment,0
ae118377,8/27/23,control,0
ae119389,12/29/23,control,0
ae119514,9/2/23,treatment,0
ae121231,11/4/23,treatment,0
ae123285,12/5/23,control,0
ae123382,9/1/23,treatment,0
ae124523,10/1/23,treatment,0
ae124648,11/15/23,control,0
ae125034,8/28/23,control,0
ae128102,11/8/23,control,0
ae128833,9/25/23,control,0
ae129238,12/6/23,control,0
ae130264,12/13/23,control,21.332602
ae130506,8/4/23,control,0
ae130946,10/29/23,treatment,0
ae13194,8/4/23,treatment,0
ae132341,8/28/23,treatment,0
ae133492,10/28/23,control,0
ae136974,9/24/23,control,0
ae142359,8/13/23,control,0
ae144237,12/7/23,treatment,5.318781741
ae144752,10/17/23,treatment,0
ae145451,10/10/23,control,0
ae145568,11/28/23,control,0
ae147131,10/17/23,control,0
ae147956,12/7/23,control,0
ae149086,9/23/23,treatment,0
ae149584,12/20/23,control,0
ae15504,9/25/23,control,0
ae16389,12/1/23,treatment,0
ae18256,9/14/23,treatment,0
ae18476,8/31/23,treatment,0
ae19399,12/20/23,treatment,0
ae20157,11/25/23,treatment,0
ae21304,10/14/23,treatment,0
ae23197,8/8/23,control,0
ae23278,12/10/23,control,0
ae25283,8/4/23,control,0
ae25776,10/8/23,control,0
ae27247,8/15/23,control,0
ae29209,12/4/23,control,0
ae29738,9/8/23,control,0
ae30838,10/27/23,treatment,0
ae30934,8/11/23,treatment,0
ae31582,9/27/23,treatment,0
ae33552,10/4/23,control,0
ae34068,11/16/23,control,0
ae34473,11/16/23,treatment,0
ae34625,11/4/23,control,0
ae35563,10/6/23,control,88.78964627
ae35828,10/2/23,treatment,0
ae36495,12/27/23,treatment,0
ae36628,10/7/23,treatment,0
ae36835,10/24/23,control,0
ae38293,9/3/23,treatment,0
ae38311,12/29/23,control,0
ae39211,9/29/23,control,0
ae40248,8/6/23,control,0
ae40705,9/1/23,treatment,46.16586486
ae41860,9/20/23,treatment,0
ae43327,10/15/23,control,0
ae43842,8/28/23,treatment,0
ae43877,11/24/23,control,0
ae43942,10/4/23,control,0
ae44222,8/11/23,treatment,0
ae46424,9/8/23,control,0
ae47708,9/22/23,treatment,0
ae48468,11/3/23,treatment,0
ae49117,10/23/23,treatment,0
ae49123,12/8/23,treatment,159.4122677
ae49374,10/23/23,control,0
ae49611,11/16/23,treatment,0
ae50377,11/13/23,treatment,0
ae50516,12/24/23,treatment,0
ae51659,8/20/23,control,0
ae51938,10/16/23,treatment,0
ae52116,8/4/23,treatment,0
ae55274,9/22/23,control,0
ae56141,10/7/23,control,0
ae56781,12/6/23,control,0
ae56868,12/8/23,treatment,0
ae57740,9/22/23,treatment,0
ae57844,12/23/23,treatment,0
ae57851,8/7/23,treatment,0
ae57933,10/22/23,treatment,0
ae62486,8/7/23,control,0
ae62486,11/19/23,control,0
ae62501,9/10/23,treatment,0
ae64206,11/29/23,control,0
ae64903,9/20/23,treatment,0
ae65353,8/27/23,control,0
ae65623,9/19/23,control,0
ae66933,10/26/23,control,0
ae67115,12/30/23,control,0
ae67924,11/11/23,control,0
ae68737,10/18/23,treatment,0
ae70795,9/2/23,treatment,0
ae71438,10/11/23,treatment,0
ae71820,12/7/23,treatment,0
ae73096,12/9/23,treatment,0
ae73914,9/16/23,treatment,139.1755316
ae74843,8/10/23,control,0
ae75053,10/19/23,treatment,0
ae75333,12/21/23,treatment,0
ae75573,11/27/23,control,0
ae75657,10/2/23,treatment,0
ae75818,8/18/23,treatment,0
ae76266,9/9/23,control,0
ae76602,10/19/23,treatment,0
ae77263,11/26/23,control,0
ae77697,11/24/23,control,0
ae78065,11/4/23,control,0
ae78997,11/7/23,control,0
ae79332,10/28/23,control,0
ae80167,11/17/23,treatment,0
ae80473,12/22/23,treatment,0
ae80645,11/18/23,treatment,0
ae81257,8/16/23,control,0
ae81355,9/13/23,control,0
ae83263,12/17/23,treatment,0
ae83438,11/4/23,control,0
ae85671,11/15/23,treatment,0
ae86382,10/31/23,treatment,0
ae87011,11/18/23,treatment,0
ae90579,9/12/23,treatment,0
ae90678,12/24/23,control,0
ae91084,9/4/23,control,0
ae91492,10/13/23,treatment,0
ae93933,8/26/23,treatment,0
ae94461,10/18/23,treatment,0
ae95920,8/23/23,control,0
ae96690,11/28/23,treatment,0
ae96811,8/28/23,treatment,0
ae96957,11/1/23,control,0
ae97243,10/7/23,control,0
ae99332,12/14/23,control,0
af100484,8/16/23,treatment,0
af102078,8/3/23,treatment,0
af103088,8/10/23,treatment,0
af103102,10/30/23,control,0
af103397,10/5/23,treatment,0
af104080,11/22/23,control,0
af104448,8/28/23,treatment,0
af104794,11/28/23,treatment,0
af104851,10/7/23,control,0
af106137,11/13/23,control,73.47010837
af109427,9/28/23,treatment,0
af110127,8/25/23,control,0
af111063,11/8/23,control,0
af111374,11/1/23,treatment,0
af113706,12/28/23,control,0
af113746,8/27/23,treatment,0
af11409,8/28/23,treatment,0
af11409,12/24/23,control,0
af114959,10/16/23,control,0
af11587,8/9/23,control,0
af11595,12/7/23,treatment,0
af117272,10/3/23,treatment,0
af117689,10/31/23,treatment,0
af119977,12/29/23,control,0
af120023,11/25/23,control,0
af120460,9/3/23,control,0
af120918,11/17/23,control,0
af120971,9/15/23,control,0
af12200,8/31/23,control,0
af124284,12/26/23,treatment,0
af126928,8/30/23,treatment,0
af127499,8/9/23,control,0
af127595,10/25/23,control,0
af127909,12/25/23,control,0
af131817,9/5/23,treatment,0
af131817,9/17/23,treatment,0
af131909,10/11/23,control,0
af134614,8/27/23,control,0
af134889,11/12/23,treatment,0
af137421,9/17/23,control,0
af138109,8/13/23,treatment,0
af138671,12/23/23,treatment,0
af138683,10/25/23,treatment,0
af138687,11/25/23,treatment,0
af138986,10/27/23,control,0
af140464,11/15/23,control,0
af140476,8/4/23,control,0
af142070,11/3/23,treatment,0
af142090,12/23/23,control,0
af14387,9/10/23,control,0
af144004,8/15/23,control,0
af147520,10/4/23,treatment,0
af147607,12/9/23,control,0
af149098,8/24/23,control,0
af150780,10/8/23,control,0
af15593,8/1/23,control,0
af17109,10/1/23,treatment,0
af17704,11/6/23,control,0
af17824,10/22/23,treatment,31.97996581
af17862,12/3/23,treatment,0
af18263,9/25/23,treatment,0
af18864,10/25/23,control,0
af19253,11/9/23,control,0
af21410,12/8/23,control,0
af21556,11/22/23,treatment,0
af24246,12/27/23,control,41.22938459
af25303,9/17/23,control,0
af25668,8/9/23,treatment,0
af26910,10/18/23,control,0
af27343,8/30/23,control,49.89538983
af27592,10/12/23,treatment,0
af27768,11/1/23,control,0
af28464,10/20/23,treatment,0
af29521,8/28/23,treatment,0
af35690,10/30/23,treatment,0
af35870,9/19/23,control,0
af36505,8/19/23,control,0
af37705,10/22/23,control,0
af38547,11/2/23,treatment,0
af39586,10/18/23,control,128.8921561
af39665,12/12/23,control,0
af40229,8/31/23,control,0
af41700,10/25/23,treatment,0
af42202,12/26/23,treatment,0
af43526,10/17/23,control,0
af43977,8/5/23,control,0
af44787,11/19/23,treatment,0
af48762,11/16/23,control,0
af51008,9/8/23,treatment,0
af51422,9/5/23,control,0
af53238,10/9/23,control,0
af55294,9/7/23,treatment,0
af55495,9/18/23,treatment,0
af55971,9/12/23,control,0
af57014,11/11/23,control,0
af57995,9/23/23,treatment,0
af58194,10/20/23,treatment,0
af59113,12/20/23,treatment,0
af59733,8/4/23,control,0
af59976,10/9/23,control,0
af60171,10/29/23,control,0
af60800,12/1/23,control,0
af61094,9/12/23,control,0
af61302,11/26/23,control,0
af63792,10/24/23,treatment,14.73564809
af63878,8/18/23,control,0
af65011,9/25/23,control,0
af65077,11/6/23,treatment,0
af66778,8/12/23,control,0
af72851,10/22/23,treatment,0
af72958,11/2/23,control,0
af73161,12/2/23,treatment,0
af73663,9/7/23,control,0
af74686,8/10/23,treatment,0
af74886,10/1/23,treatment,0
af77663,11/20/23,treatment,0
af78587,11/29/23,control,0
af79175,10/13/23,control,0
af82127,12/19/23,control,0
af82174,8/22/23,treatment,0
af83073,10/26/23,treatment,0
af85912,10/29/23,treatment,0
af86305,10/25/23,control,0
af89159,11/25/23,control,0
af89890,12/15/23,control,0
af90570,8/11/23,treatment,0
af90823,9/24/23,control,0
af91299,12/12/23,treatment,0
af91407,8/16/23,treatment,0
af92307,11/24/23,treatment,0
af93068,9/19/23,control,0
af93464,12/23/23,treatment,0
af96000,9/17/23,control,0
af96368,11/5/23,treatment,0
af97564,12/22/23,control,0
af99372,8/16/23,control,0
ag100384,9/26/23,treatment,0
ag100534,9/8/23,treatment,0
ag100887,10/19/23,treatment,0
ag102369,10/8/23,treatment,165.6326453
ag102373,9/5/23,treatment,0
ag103595,12/8/23,treatment,0
ag104251,10/29/23,treatment,0
ag105065,11/19/23,control,0
ag105545,9/6/23,treatment,0
ag106400,12/10/23,treatment,0
ag108166,11/6/23,control,0
ag109072,9/3/23,control,0
ag109137,8/26/23,control,0
ag109872,8/17/23,treatment,51.76615575
ag110378,8/14/23,treatment,0
ag110525,9/17/23,control,0
ag111035,11/13/23,treatment,0
ag111662,9/23/23,treatment,0
ag113176,11/9/23,treatment,0
ag113791,12/16/23,treatment,0
ag115418,9/19/23,control,0
ag11547,8/8/23,control,0
ag116966,11/19/23,control,0
